id,sex,taglft,tagrt,colours,year,squirrel_id,litter_id,sq_id,observer,observer software,ageclass,cohort,age,grid,trialnumber,trialdate,videodate,trialtime,midden,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,Exclude_unless_video_reanalyzed,Exclude_reason,Proceed_with_caution,Proceed_with_caution_reason,Last_Edited,Comments,...39,...40
43,F,M7984,M7985,W*/W*,2021,25286,9871,NA,DH,BORIS,J,2021,0,BT,NA,7/21/21,9/28/21,12:07,J3,46.312,18,7,326.221,64.794,16.509,175.517,450,240.938,11.019,0,300,82.602,252.213,NA,N,NA,N,NA,NA,NA,NA,NA
44,M,M7982,M7983,Y*/Y*,2021,25287,9871,NA,DH,BORIS,J,2021,0,BT,1,8/1/21,9/28/21,NA,J3,53.595,15,3,310.747,9.501,10.5,123.503,450,118.394,49.762,9,1.749,0.75,300,NA,N,NA,N,NA,NA,NA,NA,NA
45,M,M7982,M7983,Y*/Y*,2021,25287,9871,NA,DH,BORIS,J,2021,0,BT,2,8/29/21,9/28/21,15:57,J3,71.287,18,0,52.168,20.497,25.001,181.794,450,149.229,97.498,14,134.153,11.251,300,NA,N,NA,N,NA,NA,Trial #2 for this squirrel,NA,NA
46,M,M7424,M7425,O*/O*,2021,25284,9870,NA,DH,BORIS,J,2021,0,JO,NA,7/8/21,9/29/21,NA,3,41.264,10,3,392.256,81.757,0,97.589,450,1.5,298.248,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
47,F,M7470,M7471,Y*/G*,2021,25282,9870,NA,DH,BORIS,J,2021,0,JO,NA,7/5/21,9/30/21,NA,3,151.924,36,10,216.371,56.25,20.056,42.34,450,299.996,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
49,M,M6314,M6315,Bk!/G!,2021,24377,9081,NA,DH,BORIS,A,2020,1,JO,NA,6/20/21,10/6/21,NA,D0.,60.056,3,5,56.792,0.5,4.75,311.323,450,113.093,104.614,1,231.233,42.501,300,NA,N,NA,N,NA,NA,NA,NA,NA
50,F,M7622,M7623,W*/W*,2021,25314,9878,NA,DH,BORIS,J,2021,0,JO,NA,6/27/21,10/16/21,NA,E1.,113.618,16,6,129.845,76.267,18.515,133.24,435.906,299.747,0.25,0,300,12.502,300,NA,N,NA,N,NA,NA,NA,NA,NA
51,M,M6322,M6323,R!/Bk!,2021,24385,9081,NA,DH,BORIS,J,2021,0,JO,NA,6/21/21,10/9/21,10:23,E5,31.872,11,4,289.619,23.506,2.757,321.617,450,64.452,12.61,1,292.543,265.774,300,NA,N,NA,N,NA,NA,NA,NA,NA
52,M,M7562,M7563,G*/B*,2021,25323,9881,NA,DH,BORIS,J,2021,0,JO,NA,7/20/21,10/9/21,NA,F.10.,22.528,13,5,175.436,50.257,8.251,285.044,450,50.054,236.015,4,176.409,158.656,297.824,NA,N,NA,N,NA,NA,NA,NA,NA
53,F,M7519,M7520,R*/B*,2021,25324,9881,NA,DH,BORIS,J,2021,0,JO,NA,7/19/21,10/10/21,NA,F.10.,160.824,35,9,226.83,119.135,19.754,31.494,450,124.201,125.506,27,50.305,23.759,300,NA,N,NA,N,NA,NA,NA,NA,NA
