datetime,odba,odba_mean,odba_max,temp,nest,awake,asleep,odba_z
24/05/2020 13:15:30.000,0.0826666666666667,0.2,0.2,26.41,Nest,0,1,-0.618800398590087
24/05/2020 13:16:30.000,0.0525,0.07,0.14,26.41,Nest,0,1,-0.716237094763828
24/05/2020 13:17:30.000,0.181666666666667,0.14,1.13,26.53,Nest,0,1,-0.299035771367976
24/05/2020 13:18:30.000,0.0406666666666667,0,0.25,26.41,Nest,0,1,-0.754458119229771
24/05/2020 13:19:30.000,0.0521666666666667,0,0.56,26.41,Nest,0,1,-0.717313743340334
24/05/2020 13:20:30.000,0.0125,0,0.07,26.41,Nest,0,1,-0.845434923944479
24/05/2020 13:21:30.000,0.0545,0.07,0.19,26.41,Nest,0,1,-0.709777203304796
24/05/2020 13:22:30.000,0.0138333333333333,0,0.13,26.41,Nest,0,1,-0.841128329638457
24/05/2020 13:23:30.000,0.016,0.06,0.06,26.41,Nest,0,1,-0.834130113891172
24/05/2020 13:24:30.000,0.00316666666666667,0.06,0.07,26.41,Nest,0,1,-0.875581084086631
24/05/2020 13:25:30.000,0.0333333333333333,0,0.13,26.41,Nest,0,1,-0.77814438791289
24/05/2020 13:26:30.000,0.024,0,0.18,26.41,Nest,0,1,-0.808290548055042
24/05/2020 13:27:30.000,0.0125,0,0.13,26.53,Nest,0,1,-0.845434923944479
24/05/2020 13:28:30.000,0.023,0,0.12,26.41,Nest,0,1,-0.811520493784558
24/05/2020 13:29:30.000,0.057,0,0.18,26.41,Nest,0,1,-0.701702338981005
24/05/2020 13:30:30.000,0.014,0,0.12,26.41,Nest,0,1,-0.840590005350205
24/05/2020 13:31:30.000,0.025,0.06,0.12,26.29,Nest,0,1,-0.805060602325526
24/05/2020 13:32:30.000,0.014,0,0.0600000000000001,26.29,Nest,0,1,-0.840590005350205
24/05/2020 13:33:30.000,0.059,0.12,0.24,26.16,Nest,0,1,-0.695242447521972
24/05/2020 13:34:30.000,0.160666666666667,0.12,0.74,26.29,Nest,0,1,-0.366864631687818
24/05/2020 13:35:30.000,0.162,0.06,1.26,26.41,Nest,0,1,-0.362558037381796
24/05/2020 13:36:30.000,0.0578333333333333,0.07,0.19,26.41,Nest,0,1,-0.699010717539741
24/05/2020 13:37:30.000,0.023,0.07,0.07,26.16,Nest,0,1,-0.811520493784558
24/05/2020 13:38:30.000,0.027,0.07,0.07,26.16,Nest,0,1,-0.798600710866493
24/05/2020 13:39:30.000,0.0151666666666667,0.06,0.07,26.04,Nest,0,1,-0.836821735332436
24/05/2020 13:40:30.000,0.186,0,1.06,25.92,Nest,0,1,-0.285039339873406
24/05/2020 13:41:30.000,0.501333333333333,0.57,1.8,25.92,Nest,1,0,0.733470213500726
24/05/2020 13:42:30.000,0.009,0,0.12,25.92,Nest,0,1,-0.856739733997786
24/05/2020 13:43:30.000,0.0331666666666667,0,0.13,25.55,Nest,0,1,-0.778682712201143
24/05/2020 13:44:30.000,0.033,0.0600000000000001,0.13,25.19,Nest,0,1,-0.779221036489395
24/05/2020 13:45:30.000,0.0191666666666667,0,0.18,24.94,Out,0,1,-0.823901952414371
24/05/2020 13:46:30.000,0.042,0.07,0.13,24.94,Out,0,1,-0.750151524923749
24/05/2020 13:47:30.000,0.0131666666666667,0,0.07,24.82,Out,0,1,-0.843281626791468
24/05/2020 13:48:30.000,0.003,0,0.06,24.58,Out,0,1,-0.876119408374884
24/05/2020 13:49:30.000,0.0543333333333333,0.19,0.45,24.58,Out,0,1,-0.710315527593048
24/05/2020 13:50:30.000,0.0981666666666667,0.0600000000000001,0.37,24.45,Out,0,1,-0.568736239782585
24/05/2020 13:51:30.000,0.101333333333333,0.12,0.19,24.45,Out,0,1,-0.558508078305784
24/05/2020 13:52:30.000,0.0651666666666667,0.12,0.19,24.21,Out,0,1,-0.675324448856622
24/05/2020 13:53:30.000,0.051,0.0600000000000001,0.12,23.97,Out,0,1,-0.721082013358103
24/05/2020 13:54:30.000,0.053,0.12,0.18,23.97,Out,0,1,-0.71462212189907
24/05/2020 13:55:30.000,0.066,0.07,0.2,23.97,Out,0,1,-0.672632827415359
24/05/2020 13:56:30.000,0.136,0.31,0.56,23.84,Out,0,1,-0.446536626349219
24/05/2020 13:57:30.000,0.0281666666666667,0,0.13,23.72,Out,0,1,-0.794832440848724
24/05/2020 13:58:30.000,0.0511666666666667,0,0.14,23.84,Out,0,1,-0.72054368906985
24/05/2020 13:59:30.000,0.053,0,0.27,23.84,Out,0,1,-0.71462212189907
24/05/2020 14:00:30.000,0.217,0.25,1,23.6,Out,1,0,-0.184911022258401
24/05/2020 14:01:30.000,0.3595,0.25,0.75,23.72,Out,1,0,0.275356244197668
24/05/2020 14:02:30.000,0.174,0.32,0.44,23.6,Out,0,1,-0.323798688627601
24/05/2020 14:03:30.000,0.370166666666667,0.12,1.68,23.72,Out,1,0,0.309808998645842
24/05/2020 14:04:30.000,0.0488333333333334,0.06,0.37,23.97,Out,0,1,-0.728080229105388
24/05/2020 14:05:30.000,0.0181666666666667,0,0.07,24.09,Out,0,1,-0.827131898143887
24/05/2020 14:06:30.000,0.0376666666666667,0,0.39,24.33,Out,0,1,-0.76414795641832
24/05/2020 14:07:30.000,0.1395,0,0.82,24.45,Out,0,1,-0.435231816295912
24/05/2020 14:08:30.000,0.516333333333333,0.43,1.19,24.58,Out,1,0,0.78191939944347
24/05/2020 14:09:30.000,0.348,0.31,1.13,24.82,Out,1,0,0.238211868308231
24/05/2020 14:10:30.000,0.0483333333333334,0,0.31,24.94,Out,0,1,-0.729695201970146
24/05/2020 14:11:30.000,0.275166666666667,0.0600000000000001,1.75,25.19,Nest,1,0,0.00296415434179543
24/05/2020 14:12:30.000,0.026,0,0.12,24.94,Out,0,1,-0.801830656596009
24/05/2020 14:13:30.000,0.0311666666666667,0,0.19,25.06,Out,0,1,-0.785142603660175
24/05/2020 14:14:30.000,0.0555,0.0600000000000001,0.18,24.94,Out,0,1,-0.706547257575279
24/05/2020 14:15:30.000,0.0243333333333333,0,0.12,25.06,Out,0,1,-0.807213899478537
24/05/2020 14:16:30.000,0.04,0.0600000000000001,0.12,24.94,Out,0,1,-0.756611416382782
24/05/2020 14:17:30.000,0.542,1.18,2.19,24.94,Out,1,0,0.864821339834388
24/05/2020 14:18:30.000,0.558333333333333,0.38,1.18,25.06,Out,1,0,0.917577120083154
24/05/2020 14:19:30.000,0.0935000000000001,0.12,0.25,24.94,Out,0,1,-0.583809319853661
24/05/2020 14:20:30.000,0.0491666666666667,0,0.13,24.7,Out,0,1,-0.727003580528882
