datetime,odba,odba_mean,odba_max,temp,nest,awake,asleep,odba_z
12/04/2020 07:59:17.000,0.419666666666667,0.7,0.7,6.5,Out,1,0,0.516421598930803
12/04/2020 08:00:17.000,0.270833333333333,0.13,1.32,6.5,Out,1,0,0.0525449747445664
12/04/2020 08:01:17.000,0.344,1.12,1.25,6.38,Out,1,0,0.280587346544967
12/04/2020 08:02:17.000,0.250666666666667,0.38,1.25,6.5,Out,1,0,-0.0103095286446103
12/04/2020 08:03:17.000,0.455833333333333,1.5,1.5,6.38,Out,1,0,0.629144138066765
12/04/2020 08:04:17.000,0.283333333333333,0.13,0.81,6.63,Out,1,0,0.0915043776717416
12/04/2020 08:05:17.000,0.252666666666667,0.26,0.57,6.5,Out,1,0,-0.00407602417626224
12/04/2020 08:06:17.000,0.290833333333333,0.12,0.63,6.38,Out,1,0,0.114880019428047
12/04/2020 08:07:17.000,0.262166666666667,0.37,0.57,6.38,Out,1,0,0.0255331220483912
12/04/2020 08:08:17.000,0.282166666666667,0.19,0.56,6.38,Out,1,0,0.0878681667318725
12/04/2020 08:09:17.000,0.2555,0.31,0.62,6.38,Out,1,0,0.00475477382056411
12/04/2020 08:10:17.000,0.252333333333333,0.5,0.57,6.38,Out,1,0,-0.00511494158765348
12/04/2020 08:11:17.000,0.255166666666667,0.37,0.44,6.38,Out,1,0,0.0037158564091727
12/04/2020 08:12:17.000,0.442,0.12,5.93,6.26,Out,1,0,0.586029065494023
12/04/2020 08:13:17.000,0.320333333333333,0.37,1.19,6.26,Out,1,0,0.206824210336182
12/04/2020 08:14:17.000,0.334166666666667,0.2,1.74,6.26,Out,1,0,0.249939282908922
12/04/2020 08:15:17.000,0.462,0.2,1.89,6.38,Out,1,0,0.648364110177505
12/04/2020 08:16:17.000,0.618166666666667,0.19,2.01,6.26,Out,1,0,1.13509691741435
12/04/2020 08:17:17.000,0.282833333333333,0.06,0.7,6.38,Out,1,0,0.0899460015546549
12/04/2020 08:18:17.000,0.273166666666667,0.44,0.76,6.38,Out,1,0,0.0598173966243055
12/04/2020 08:19:17.000,0.282,0.37,0.94,6.38,Out,1,0,0.0873487080261763
12/04/2020 08:20:17.000,0.288,0.32,0.88,6.38,Out,1,0,0.106049221431221
12/04/2020 08:21:17.000,0.328,1.76,1.76,6.38,Out,1,0,0.230719310798182
12/04/2020 08:22:17.000,0.319166666666667,0.0599999999999999,1.83,6.38,Out,1,0,0.203187999396312
12/04/2020 08:23:17.000,0.628,0.94,1.06,6.38,Out,1,0,1.1657449810504
12/04/2020 08:24:17.000,0.279666666666667,0.18,1.07,6.38,Out,1,0,0.0800762861464372
12/04/2020 08:25:17.000,0.515666666666667,0.13,2.08,6.5,Out,1,0,0.815629813411512
12/04/2020 08:26:17.000,0.602166666666667,0.26,1.89,6.75,Out,1,0,1.08522888166757
12/04/2020 08:27:17.000,0.2605,0.06,1.69,6.75,Out,1,0,0.0203385349914347
12/04/2020 08:28:17.000,0.305166666666667,0.31,1.69,6.99,Out,1,0,0.159553468117875
12/04/2020 08:29:17.000,0.243833333333333,0.31,0.51,7.12,Out,1,0,-0.0316073355781329
12/04/2020 08:30:17.000,0.295333333333333,0.18,0.7,7.12,Out,1,0,0.12890540448183
12/04/2020 08:31:17.000,0.232,0.2,0.69,7.24,Out,1,0,-0.0684889036825259
12/04/2020 08:32:17.000,0.535166666666667,1.75,1.89,7.12,Out,1,0,0.876406481977905
12/04/2020 08:33:17.000,0.395166666666667,0.51,1.82,7.12,Out,1,0,0.440061169193539
12/04/2020 08:34:17.000,0.2525,0.07,1.64,7.24,Out,1,0,-0.00459548288195803
12/04/2020 08:35:17.000,0.123833333333333,0.06,0.42,7.36,Out,0,1,-0.405617603679018
12/04/2020 08:36:17.000,0.0876666666666666,0,0.43,7.36,Out,0,1,-0.51834014281498
12/04/2020 08:37:17.000,0.114666666666667,0.25,0.26,7.6,Out,0,1,-0.43418783249228
12/04/2020 08:38:17.000,0.155666666666667,0.07,0.58,7.6,Out,0,1,-0.306400990891144
12/04/2020 08:39:17.000,0.136333333333333,0.13,0.38,7.85,Out,0,1,-0.366658200751843
12/04/2020 08:40:17.000,0.226333333333333,0.19,0.76,7.85,Out,1,0,-0.0861504996761787
12/04/2020 08:41:17.000,0.183833333333333,0.25,0.5,7.48,Out,0,1,-0.218612469628575
12/04/2020 08:42:17.000,0.155833333333333,0.12,0.39,7.73,Out,0,1,-0.305881532185449
12/04/2020 08:43:17.000,0.301333333333333,0.19,0.95,7.85,Out,1,0,0.147605917886874
12/04/2020 08:44:17.000,0.159,0.26,0.44,7.85,Out,0,1,-0.296011816777231
12/04/2020 08:45:17.000,0.258166666666667,0.19,0.69,7.85,Out,1,0,0.013066113111695
12/04/2020 08:46:17.000,0.293166666666667,0.12,1.02,7.97,Out,1,0,0.122152441307787
12/04/2020 08:47:17.000,0.5585,0.44,1.82,7.85,Out,1,0,0.949130700775299
12/04/2020 08:48:17.000,0.431333333333334,0.18,1.33,7.85,Out,1,0,0.552783708329501
12/04/2020 08:49:17.000,0.316,0.12,0.88,7.97,Out,1,0,0.193318283988094
12/04/2020 08:50:17.000,0.287333333333333,0.56,1.07,7.97,Out,1,0,0.103971386608438
12/04/2020 08:51:17.000,0.240833333333333,0.25,1.12,7.85,Out,1,0,-0.0409575922806553
12/04/2020 08:52:17.000,0.323,0.31,0.76,7.85,Out,1,0,0.215135549627312
12/04/2020 08:53:17.000,0.249833333333333,0.26,0.63,7.73,Out,1,0,-0.0129068221730887
12/04/2020 08:54:17.000,0.360333333333333,0.13,0.82,7.6,Out,1,0,0.331494299703143
12/04/2020 08:55:17.000,0.264166666666667,0.32,0.75,7.73,Out,1,0,0.0317666265167391
12/04/2020 08:56:17.000,0.2545,0.19,0.51,7.6,Out,1,0,0.00163802158639041
12/04/2020 08:57:17.000,0.3155,0.06,0.87,7.6,Out,1,0,0.191759907871007
12/04/2020 08:58:17.000,0.281666666666667,0.37,0.56,7.48,Out,1,0,0.0863097906147851
12/04/2020 08:59:17.000,0.255333333333333,0.32,0.63,7.36,Out,1,0,0.00423531511486849
12/04/2020 09:00:17.000,0.263833333333333,0.25,0.56,7.36,Out,1,0,0.0307277091053477
12/04/2020 09:01:17.000,0.2825,0.3,0.62,7.24,Out,1,0,0.0889070841432634
12/04/2020 09:02:17.000,0.287666666666667,0.26,0.56,7.36,Out,1,0,0.105010304019829
12/04/2020 09:03:17.000,0.279666666666667,0.26,0.63,7.36,Out,1,0,0.0800762861464368
12/04/2020 09:04:17.000,0.293666666666667,0.24,1.81,7.36,Out,1,0,0.123710817424874
12/04/2020 09:05:17.000,0.178166666666667,0.31,0.64,7.36,Out,0,1,-0.236274065622228
12/04/2020 09:06:17.000,0.186166666666667,0,0.5,7.6,Out,0,1,-0.211340047748836
12/04/2020 09:07:17.000,0.251666666666667,0.07,1.26,7.73,Out,1,0,-0.00719277641043629
12/04/2020 09:08:17.000,0.372166666666667,0.82,0.93,7.85,Out,1,0,0.368375867807536
12/04/2020 09:09:17.000,0.745833333333333,1,1.24,7.97,Out,1,0,1.53300228597724
12/04/2020 09:10:17.000,0.246166666666667,0.25,1.01,8.7,Out,1,0,-0.0243349136983936
12/04/2020 09:11:17.000,0.162166666666667,0.18,0.81,9.8,Out,0,1,-0.286142101369013
12/04/2020 09:12:17.000,0.103333333333333,0.06,0.31,9.8,Out,0,1,-0.469511024479586
12/04/2020 09:13:17.000,0.121,0.44,1,10.05,Out,0,1,-0.414448401675844
12/04/2020 09:14:17.000,0.316166666666666,0.37,1.25,9.92,Out,1,0,0.193837742693789
12/04/2020 09:15:17.000,0.319333333333333,0.68,1.37,9.92,Out,1,0,0.203707458102007
12/04/2020 09:16:17.000,0.2,0.25,0.57,10.05,Out,0,1,-0.168224975176095
12/04/2020 09:17:17.000,0.287666666666667,0.43,0.63,10.17,Out,1,0,0.105010304019829
12/04/2020 09:18:17.000,0.238166666666667,0.12,0.51,10.05,Out,1,0,-0.0492689315717861
12/04/2020 09:19:17.000,0.242,0.13,0.5,9.8,Out,1,0,-0.0373213813407853
12/04/2020 09:20:17.000,0.306833333333333,0.25,0.63,9.8,Out,1,0,0.164748055174832
12/04/2020 09:21:17.000,0.278666666666667,0.25,0.83,9.68,Out,1,0,0.0769595339122635
12/04/2020 09:22:17.000,0.242833333333333,0.38,0.63,9.68,Out,1,0,-0.034724087812307
12/04/2020 09:23:17.000,0.299166666666667,0.18,0.63,9.68,Out,1,0,0.140852954712831
12/04/2020 09:24:17.000,0.330166666666667,0.13,0.75,9.44,Out,1,0,0.237472273972226
12/04/2020 09:25:17.000,0.2685,0.32,0.56,9.31,Out,1,0,0.0452725528648269
12/04/2020 09:26:17.000,0.314666666666667,0.25,0.82,9.31,Out,1,0,0.189162614342528
12/04/2020 09:27:17.000,0.307333333333333,0.44,0.62,9.31,Out,1,0,0.166306431291919
12/04/2020 09:28:17.000,0.356333333333333,0.25,0.88,9.31,Out,1,0,0.319027290766447
12/04/2020 09:29:17.000,0.291666666666667,0.18,0.69,8.95,Out,1,0,0.117477312956526
12/04/2020 09:30:17.000,0.309,0.25,1.38,8.82,Out,1,0,0.171501018348876
12/04/2020 09:31:17.000,0.174333333333333,0.25,1.32,8.95,Out,0,1,-0.248221615853229
12/04/2020 09:32:17.000,0.303833333333333,0.18,1.31,8.95,Out,1,0,0.15539779847231
12/04/2020 09:33:17.000,0.283666666666667,0.13,1.19,9.07,Out,1,0,0.0925432950831334
12/04/2020 09:34:17.000,0.293666666666667,0.5,1.44,8.82,Out,1,0,0.123710817424873
12/04/2020 09:35:17.000,0.135833333333333,0.24,0.44,9.07,Out,0,1,-0.36821657686893
12/04/2020 09:36:17.000,0.0771666666666667,0,0.24,9.07,Out,0,1,-0.551066041273807
12/04/2020 09:37:17.000,0.0728333333333333,0.19,0.32,9.19,Out,0,1,-0.564571967621894
12/04/2020 09:38:17.000,0.1115,0.0600000000000001,0.31,9.19,Out,0,1,-0.444057547900498
12/04/2020 09:39:17.000,0.195333333333333,0.25,0.75,9.31,Out,0,1,-0.182769818935574
12/04/2020 09:40:17.000,0.128666666666667,0.12,0.38,9.07,Out,0,1,-0.390553301213844
12/04/2020 09:41:17.000,0.165166666666667,0.18,0.49,9.31,Out,0,1,-0.276791844666491
12/04/2020 09:42:17.000,0.271833333333333,0.12,0.76,9.31,Out,1,0,0.0556617269787404
12/04/2020 09:43:17.000,0.249666666666667,0.12,0.57,9.31,Out,1,0,-0.0134262808787843
12/04/2020 09:44:17.000,0.217166666666667,0.37,0.5,9.31,Out,1,0,-0.114720728489441
12/04/2020 09:45:17.000,0.245333333333333,0.37,1,9.31,Out,1,0,-0.0269322072268717
12/04/2020 09:46:17.000,0.307,1.12,1.31,9.31,Out,1,0,0.165267513880527
12/04/2020 09:47:17.000,0.340333333333333,0.24,1.44,9.31,Out,1,0,0.269159255019662
12/04/2020 09:48:17.000,0.11,0.13,0.44,9.31,Out,0,1,-0.448732676251759
12/04/2020 09:49:17.000,0.125,0.06,0.44,9.31,Out,0,1,-0.401981392739148
12/04/2020 09:50:17.000,0.0850000000000001,0.0600000000000001,0.2,9.31,Out,0,1,-0.52665148210611
12/04/2020 09:51:17.000,0.053,0.07,0.2,9.44,Out,0,1,-0.62638755359968
12/04/2020 09:52:17.000,0.0863333333333333,0,0.31,9.56,Out,0,1,-0.522495812460545
12/04/2020 09:53:17.000,0.116333333333333,0.06,0.26,9.44,Out,0,1,-0.428993245435323
12/04/2020 09:54:17.000,0.134333333333333,0.31,0.56,9.68,Out,0,1,-0.37289170522019
12/04/2020 09:55:17.000,0.0253333333333334,0,0.2,9.68,Out,0,1,-0.712617698745161
12/04/2020 09:56:17.000,0.034,0,0.18,9.8,Out,0,1,-0.685605846048986
12/04/2020 09:57:17.000,0.0335,0,0.26,9.92,Out,0,1,-0.687164222166073
12/04/2020 09:58:17.000,0.0518333333333333,0.07,0.37,9.92,Out,0,1,-0.630023764539549
12/04/2020 09:59:17.000,0.211833333333333,0.12,0.5,9.92,Out,1,0,-0.131343407071702
12/04/2020 10:00:17.000,0.201,0.31,0.5,10.29,Out,0,1,-0.165108222941921
12/04/2020 10:01:17.000,0.233666666666667,0.37,0.69,10.17,Out,1,0,-0.0632943166255691
12/04/2020 10:02:17.000,0.245833333333333,0,0.63,10.29,Out,1,0,-0.0253738311097846
