datetime,odba,odba_mean,odba_max,temp,nest,awake,asleep,odba_z
12/04/2020 11:16:31.000,0.576,1.19,1.19,10.29,Out,1,0,1.87500555471406
12/04/2020 11:17:31.000,0.3965,0,1.76,10.29,Out,1,0,1.0986230084695
12/04/2020 11:18:31.000,0.237166666666667,0.12,1.56,10.29,Out,1,0,0.409466356464107
12/04/2020 11:19:31.000,0.046,0.07,0.13,10.29,Out,0,1,-0.41737745091056
12/04/2020 11:20:31.000,0.350333333333333,0.06,2.01,10.29,Out,1,0,0.898940589426094
12/04/2020 11:21:31.000,0.515333333333333,0.31,1.38,10.29,Out,1,0,1.61260699683753
12/04/2020 11:22:31.000,0.404,0.44,1.43,10.29,Out,1,0,1.13106239062456
12/04/2020 11:23:31.000,0.6395,1.13,1.62,10.29,Out,1,0,2.14965899029362
12/04/2020 11:24:31.000,0.108666666666667,0.31,0.37,10.29,Out,0,1,-0.146328391126013
12/04/2020 11:25:31.000,0.222333333333333,0.0600000000000001,0.43,10.17,Out,1,0,0.345308467312978
12/04/2020 11:26:31.000,0.259833333333333,0.25,1.13,10.29,Out,1,0,0.507505378088305
12/04/2020 11:27:31.000,0.161166666666667,0.26,0.38,10.29,Out,0,1,0.0807472839594451
12/04/2020 11:28:31.000,0.0443333333333333,0,0.25,10.17,Out,0,1,-0.424586202500574
12/04/2020 11:29:31.000,0.8745,1.62,1.88,10.29,Out,1,0,3.16609296448566
12/04/2020 11:30:31.000,0.782333333333333,1,1.62,10.78,Out,1,0,2.76744900155786
12/04/2020 11:31:31.000,0.7415,1.31,1.76,11.63,Out,1,0,2.59083458760251
12/04/2020 11:32:31.000,0.037,0.12,0.12,11.14,Out,0,1,-0.456304709496638
12/04/2020 11:33:31.000,0.276666666666667,0.19,2.08,10.78,Out,1,0,0.580313769147452
12/04/2020 11:34:31.000,0.0308333333333334,0.07,0.07,10.41,Out,0,1,-0.482977090379692
12/04/2020 11:35:31.000,0.2715,0.25,0.75,10.17,Out,1,0,0.557966639218407
12/04/2020 11:36:31.000,0.662833333333333,0.0599999999999999,1.87,11.27,Out,1,0,2.25058151255382
12/04/2020 11:37:31.000,0.601166666666667,0.25,3.81,13.22,Out,1,0,1.98385770372328
12/04/2020 11:38:31.000,0.715333333333333,0.94,2.12,14.93,Out,1,0,2.47765718763928
12/04/2020 11:39:31.000,0.903333333333333,0.88,5.18,16.03,Out,1,0,3.29080436699292
12/04/2020 11:40:31.000,1.01866666666667,0.44,5.88,16.76,Out,1,0,3.78964997702192
12/04/2020 11:41:31.000,0.374666666666666,0.12,0.89,17.98,Out,1,0,1.00418836264031
12/04/2020 11:42:31.000,0.302333333333333,0.31,0.68,18.96,Out,1,0,0.691328543633676
12/04/2020 11:43:31.000,0.5865,0.55,1.38,19.94,Out,1,0,1.92042068973115
12/04/2020 11:44:31.000,0.262166666666667,0.25,0.63,20.67,Out,1,0,0.517597630314325
12/04/2020 11:45:31.000,0.352666666666667,0.32,0.74,20.91,Nest,1,0,0.909032841652116
12/04/2020 11:46:31.000,0.440333333333333,0.37,1.19,21.28,Nest,1,0,1.28821317528688
12/04/2020 11:47:31.000,0.2485,0.25,0.68,21.28,Nest,1,0,0.458485867276206
12/04/2020 11:48:31.000,0.142166666666667,0.06,1.12,21.03,Nest,0,1,-0.00143248416672117
12/04/2020 11:49:31.000,0.351333333333333,0,3.12,20.91,Nest,1,0,0.903265840380103
12/04/2020 11:50:31.000,0.242666666666667,0.13,1.5,20.42,Out,1,0,0.433255236711156
12/04/2020 11:51:31.000,0.2015,0.37,0.68,20.06,Out,0,1,0.255199072437796
12/04/2020 11:52:31.000,0.364166666666667,0.56,1.06,19.94,Out,1,0,0.958773227623215
12/04/2020 11:53:31.000,0.166333333333333,0,0.56,19.57,Out,0,1,0.10309441388849
12/04/2020 11:54:31.000,0.0653333333333333,0.06,0.43,19.45,Out,0,1,-0.333755932466391
12/04/2020 11:55:31.000,0.22,0,1.11,19.2,Out,1,0,0.335216215086958
12/04/2020 11:56:31.000,0.419833333333334,0.26,0.81,19.08,Out,1,0,1.1995455307297
12/04/2020 11:57:31.000,0.294,0.18,1.56,19.08,Out,1,0,0.655284785683602
12/04/2020 11:58:31.000,0.038,0,0.12,18.47,Out,0,1,-0.451979458542629
12/04/2020 11:59:31.000,0.711666666666667,0.44,5.24,18.35,Out,1,0,2.46179793414125
12/04/2020 12:00:31.000,0.802,1.87,2.19,18.35,Out,1,0,2.85251227032003
12/04/2020 12:01:31.000,0.380833333333333,0.31,1.12,18.96,Out,1,0,1.03086074352336
12/04/2020 12:02:31.000,0.437333333333333,0.0599999999999999,2.62,19.57,Out,1,0,1.27523742242485
