datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
24/04/2015 00:00:00.000,0,0.14,30.19,Nest,0,1,-0.614823171242759
24/04/2015 00:01:00.000,0.0600000000000001,0.37,30.07,Nest,0,1,-0.521288540464181
24/04/2015 00:02:00.000,0.13,0.13,30.19,Nest,0,1,-0.41216480455584
24/04/2015 00:03:00.000,0.19,0.19,30.19,Nest,0,1,-0.318630173777261
24/04/2015 00:04:00.000,0.06,0.12,29.95,Nest,0,1,-0.521288540464181
24/04/2015 00:05:00.000,0,0.13,29.95,Nest,0,1,-0.614823171242759
24/04/2015 00:06:00.000,0,0.19,30.07,Nest,0,1,-0.614823171242759
24/04/2015 00:07:00.000,0,0.13,30.07,Nest,0,1,-0.614823171242759
24/04/2015 00:08:00.000,0,0.12,29.95,Nest,0,1,-0.614823171242759
24/04/2015 00:09:00.000,0,0.06,30.07,Nest,0,1,-0.614823171242759
24/04/2015 00:10:00.000,0.19,0.5,30.07,Nest,0,1,-0.318630173777261
24/04/2015 00:11:00.000,0.24,0.62,30.07,Nest,1,0,-0.240684648128446
24/04/2015 00:12:00.000,0.12,0.24,29.83,Nest,0,1,-0.427753909685603
24/04/2015 00:13:00.000,0,0.19,29.95,Nest,0,1,-0.614823171242759
24/04/2015 00:14:00.000,0.06,0.26,29.83,Nest,0,1,-0.521288540464181
24/04/2015 00:15:00.000,0,0.2,30.07,Nest,0,1,-0.614823171242759
24/04/2015 00:16:00.000,0,0.07,30.07,Nest,0,1,-0.614823171242759
24/04/2015 00:17:00.000,0,0.69,30.19,Nest,0,1,-0.614823171242759
24/04/2015 00:18:00.000,0,0.12,30.31,Nest,0,1,-0.614823171242759
24/04/2015 00:19:00.000,0,0.31,30.19,Nest,0,1,-0.614823171242759
24/04/2015 00:20:00.000,0,0.31,30.19,Nest,0,1,-0.614823171242759
24/04/2015 00:21:00.000,0,0.12,30.19,Nest,0,1,-0.614823171242759
24/04/2015 00:22:00.000,0.13,0.13,29.95,Nest,0,1,-0.41216480455584
24/04/2015 00:23:00.000,0.07,0.07,29.95,Nest,0,1,-0.505699435334418
24/04/2015 00:24:00.000,0,0.07,30.07,Nest,0,1,-0.614823171242759
24/04/2015 00:25:00.000,0,0.27,29.95,Nest,0,1,-0.614823171242759
24/04/2015 00:26:00.000,0.07,0.44,29.95,Nest,0,1,-0.505699435334418
24/04/2015 00:27:00.000,0,0.3,29.83,Nest,0,1,-0.614823171242759
24/04/2015 00:28:00.000,0.13,0.32,29.83,Nest,0,1,-0.41216480455584
24/04/2015 00:29:00.000,0.13,0.25,29.83,Nest,0,1,-0.41216480455584
24/04/2015 00:30:00.000,0,0.14,29.83,Nest,0,1,-0.614823171242759
24/04/2015 00:31:00.000,0,0.19,29.83,Nest,0,1,-0.614823171242759
24/04/2015 00:32:00.000,0,1.44,29.83,Nest,0,1,-0.614823171242759
24/04/2015 00:33:00.000,0.0600000000000001,0.13,29.83,Nest,0,1,-0.521288540464181
24/04/2015 00:34:00.000,0,0.07,29.83,Nest,0,1,-0.614823171242759
24/04/2015 00:35:00.000,0,0.07,29.83,Nest,0,1,-0.614823171242759
24/04/2015 00:36:00.000,0,0.12,29.83,Nest,0,1,-0.614823171242759
