datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
2014-08-29 00:00:00,0,0.06,28.24,Nest,0,1,-0.596855275660158
2014-08-29 00:01:00,0,0.06,28.24,Nest,0,1,-0.596855275660158
2014-08-29 00:02:00,0.43,0.43,28.24,Nest,1,0,-0.12078255221046
2014-08-29 00:03:00,0.18,0.49,28.36,Nest,0,1,-0.397569019332378
2014-08-29 00:04:00,0,0.18,28.12,Nest,0,1,-0.596855275660158
2014-08-29 00:05:00,0.06,0.75,27.99,Nest,0,1,-0.530426523550898
2014-08-29 00:06:00,0.12,0.3,27.99,Nest,0,1,-0.463997771441638
2014-08-29 00:07:00,0.0599999999999999,0.12,27.99,Nest,0,1,-0.530426523550898
2014-08-29 00:08:00,0.06,1.94,27.87,Nest,0,1,-0.530426523550898
2014-08-29 00:09:00,1.06,2.01,27.87,Nest,1,0,0.576719344936773
2014-08-29 00:10:00,0,0.2,27.99,Nest,0,1,-0.596855275660158
2014-08-29 00:11:00,0,0.32,27.87,Nest,0,1,-0.596855275660158
2014-08-29 00:12:00,0.37,0.44,28.12,Nest,1,0,-0.18721130431972
2014-08-29 00:13:00,0.07,0.19,27.99,Nest,0,1,-0.519355064866021
2014-08-29 00:14:00,0.06,0.19,27.87,Nest,0,1,-0.530426523550898
2014-08-29 00:15:00,0.0600000000000001,0.12,28.24,Nest,0,1,-0.530426523550898
2014-08-29 00:16:00,0,0.18,28.12,Nest,0,1,-0.596855275660158
2014-08-29 00:17:00,0.0600000000000001,0.12,28.24,Nest,0,1,-0.530426523550898
2014-08-29 00:18:00,0.13,0.32,28.36,Nest,0,1,-0.452926312756761
2014-08-29 00:19:00,0.12,0.26,28.36,Nest,0,1,-0.463997771441638
2014-08-29 00:20:00,0.0599999999999999,0.18,28.36,Nest,0,1,-0.530426523550898
2014-08-29 00:21:00,0,0.18,28.6,Nest,0,1,-0.596855275660158
2014-08-29 00:22:00,0.0600000000000001,0.5,28.48,Nest,0,1,-0.530426523550898
2014-08-29 00:23:00,0.25,0.69,28.48,Nest,1,0,-0.320068808538241
2014-08-29 00:24:00,0,0.18,28.48,Nest,0,1,-0.596855275660158
2014-08-29 00:25:00,0,0.18,28.48,Nest,0,1,-0.596855275660158
2014-08-29 00:26:00,0.25,0.31,28.24,Nest,1,0,-0.320068808538241
