datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
03-May-2015 01:07:00,0.06,0.62,20.42,Nest,0,1,-0.572732109170056
03-May-2015 01:08:00,0.07,1.06,20.55,Nest,0,1,-0.555623671442806
03-May-2015 01:09:00,0.07,0.58,20.67,Nest,0,1,-0.555623671442806
03-May-2015 01:10:00,0,0.18,20.67,Nest,0,1,-0.675382735533556
03-May-2015 01:11:00,0.06,1.32,20.91,Nest,0,1,-0.572732109170056
03-May-2015 01:12:00,0,0.19,20.91,Nest,0,1,-0.675382735533556
03-May-2015 01:13:00,0,0.13,21.03,Nest,0,1,-0.675382735533556
03-May-2015 01:14:00,0,0.0600000000000001,21.16,Nest,0,1,-0.675382735533556
03-May-2015 01:15:00,0.0600000000000001,0.19,21.52,Nest,0,1,-0.572732109170056
03-May-2015 01:16:00,0,0.31,21.77,Nest,0,1,-0.675382735533556
03-May-2015 01:17:00,0,1.5,21.65,Nest,0,1,-0.675382735533556
03-May-2015 01:18:00,0,0.93,21.52,Nest,0,1,-0.675382735533556
03-May-2015 01:19:00,0,0.82,21.4,Nest,0,1,-0.675382735533556
03-May-2015 01:20:00,0.14,0.3,21.52,Nest,0,1,-0.435864607352055
03-May-2015 01:21:00,0,1.01,21.52,Nest,0,1,-0.675382735533556
03-May-2015 01:22:00,0.14,4.57,21.52,Nest,0,1,-0.435864607352055
03-May-2015 01:23:00,0,0.81,21.52,Nest,0,1,-0.675382735533556
03-May-2015 01:24:00,0,0.0600000000000001,21.03,Nest,0,1,-0.675382735533556
03-May-2015 01:25:00,0,0.07,20.18,Nest,0,1,-0.675382735533556
03-May-2015 01:26:00,0,0.07,19.57,Nest,0,1,-0.675382735533556
03-May-2015 01:27:00,0,0.07,19.08,Nest,0,1,-0.675382735533556
03-May-2015 01:28:00,0,0.06,18.53,Nest,0,1,-0.675382735533556
03-May-2015 01:29:00,0.26,0.63,18.1,Out,1,0,-0.230563354625054
03-May-2015 01:30:00,0,0.43,18.23,Out,0,1,-0.675382735533556
03-May-2015 01:31:00,0.0600000000000001,0.12,18.71,Nest,0,1,-0.572732109170056
03-May-2015 01:32:00,0,0.12,19.08,Nest,0,1,-0.675382735533556
03-May-2015 01:33:00,0.19,0.81,19.57,Nest,0,1,-0.350322418715804
03-May-2015 01:34:00,0,0.18,20.06,Nest,0,1,-0.675382735533556
03-May-2015 01:35:00,0.0600000000000001,0.19,20.55,Nest,0,1,-0.572732109170056
03-May-2015 01:36:00,0,2.07,20.67,Nest,0,1,-0.675382735533556
03-May-2015 01:37:00,0,0.44,20.67,Nest,0,1,-0.675382735533556
03-May-2015 01:38:00,0.0600000000000001,0.0600000000000001,20.79,Nest,0,1,-0.572732109170056
03-May-2015 01:39:00,0.0600000000000001,0.19,20.67,Nest,0,1,-0.572732109170056
03-May-2015 01:40:00,0.0600000000000001,0.26,20.55,Nest,0,1,-0.572732109170056
03-May-2015 01:41:00,0.0600000000000001,0.0600000000000001,20.79,Nest,0,1,-0.572732109170056
03-May-2015 01:42:00,0.19,0.81,21.03,Nest,0,1,-0.350322418715804
